prop_desc,prop_size(lower),prop_price,post_code,out_code,type
"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","1,695 ",3400000, SW1P 3BU,SW1P,Office / Residential Opportunity
"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","5,690 ",2250000, SE1 7JN,SE1,B1 Unit or May Suit A1
"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","1,113 ",575000, SE1 0ED,SE1,Self Contained Office Over Ground & Lower Ground
"27 Kelso Place , Kensington, London, W8 5QG","5,530 ",5500000, W8 5QG,W8,27 Kelso Place 
"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","1,632 ",625000, SW4 6HB,SW4,Ground & Lower Ground Office Suites
"Lillie Road, Fulham SW6, SW6 1TL, Earl's Court, SW6 1TL","3,891 ",1999950, SW6 1TL,SW6,Lillie Road
"Retail Unit With Small Yard To The Rear, 91-93 Queen’s Road, Peckham, SE15 2EZ","2,152 ",770000, SE15 2EZ,SE15,Retail Unit With Small Yard To The Rear
"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","1,728 ",925000, SW18 1FY,SW18,Ground Floor Office Suite
"Retail Investment, 5 Milliners House, Eastfields Avenue, Riverside Quarter, Wandsworth, SW18 1LP","1,316 ",880000, SW18 1LP,SW18,Retail Investment
"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","2,477 ",1245000, SW18 1GG,SW18,Studio/Office Premises for Sale
"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","1,785 ",1000000, SW12 8SG,SW12,Self-Contained Office Building
"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","1,136 ",495000, SW18 4JB,SW18,Two Commercial Premises With B1 Consent
"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG","4,288 ",1400000, SW18 4AG,SW18,Office Unit - To Let/For Sale
"Retail Premises With 1st Floor Office, 253-255 Putney Bridge Road, Wandsworth, SW15 2PU","1,993 ",947000, SW15 2PU,SW15,Retail Premises With 1st Floor Office
"Restaurant with Residential Above, 195 Castelnau, Barnes, SW13 9ER","2,182 ",1400000, SW13 9ER,SW13,Restaurant with Residential Above
"Wightman Road, Harringay N4, N4 1RU, Harringay, N4 1RU","3,000 ",7500000, N4 1RU,N4,Wightman Road
"Business Premises With Residential Above, 351 King Street, Hammersmith, W6 9NH","1,133 ",450000, W6 9NH,W6,Business Premises With Residential Above
"D1 Use Building For Sale, 14A Stowage, Deptford, SE8 3ED","3,600 ",750000, SE8 3ED,SE8,D1 Use Building For Sale
"Unit 20 & 21, Cranford Way, London, N8 9DG","9,055 ",1500000, N8 9DG,N8,Unit 20 & 21
"Mixed Use Ground Floor Units For Sale, Hope Wharf, 37 Greenwich High Road, Greenwich, SE10 8LR","1,491 ",390000, SE10 8LR,SE10,Mixed Use Ground Floor Units For Sale
"138-146, High Road, Streatham, SW16 1BJ","16,932 ",2700000, SW16 1BJ,SW16,138-146
"25 Mitcham Lane, London, SW16 6LQ","7,342 ",1575000, SW16 6LQ,SW16,25 Mitcham Lane
"379 Upper Richmond Road, London, SW15 5QJ","2,352 ",850000, SW15 5QJ,SW15,379 Upper Richmond Road
"3-4 Turnpike Parade, Green Lanes, Wood Green, N15 3LA","1,403 ",200000, N15 3LA,N15,3-4 Turnpike Parade
"Retail & Residential Investment, 225 Golders Green Road, Golders Green, NW11 9ES","1,745 ",2000000, NW11 9ES,NW11,Retail & Residential Investment
"Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ","1,650 ",1100000, W4 5JQ,W4,Investment Opportunity For Sale
"42 Gorst Road, Park Royal, NW10 6LD","15,077 ",3015400, NW10 6LD,NW10,42 Gorst Road
"Botanic House, 309-317 Chiswick High Road, London, W4 4HH","1,350 ",950000, W4 4HH,W4,Botanic House
"New Build Unit with A1/B1/D2 Consent, 223 Streatham Road, Mitcham, CR4 2AJ","2,939 ",950000, CR4 2AJ,CR4,New Build Unit with A1/B1/D2 Consent
"Unit 24, Cumberland Business Park, 17 Cumberland Avenue, NW10 7RT","2,227 ",600000, NW10 7RT,NW10,Unit 24
"Self-Contained Office Building, 229 The Broadway, Wimbledon, SW19 1SD","1,397 ",725000, SW19 1SD,SW19,Self-Contained Office Building
"Office Building With Residential Potential, No 3 Printers Yard, 90a The Broadway, Wimbledon, SW19 1RD","1,691 ",875000, SW19 1RD,SW19,Office Building With Residential Potential
"Unit 5, Popin Business Centre, South Way, Wembley, HA9 0HB","2,800 ",580000, HA9 0HB,HA9,Unit 5
"Office And Workshop With Potential For Other Uses, 189A Livingstone Road, Thornton Heath, CR7 8JZ","1,375 ",475000, CR7 8JZ,CR7,Office And Workshop With Potential For Other Uses
"23-25 Lombard Road, Wimbledon, SW19 3TZ","40,832 ",4500000, SW19 3TZ,SW19,23-25 Lombard Road
"Retail Development Opportunity, Hendon Waterside, West Hendon Broadway, West Hendon, NW9 7FA",710," 2,034 ", NW9 7FA,NW9,Retail Development Opportunity
"Commercial Premises With 1st Floor Offices, Shaftesbury House, Shaftesbury Road, Edmonton, N18 1SQ","37,000 ",6000000, N18 1SQ,N18,Commercial Premises With 1st Floor Offices
"Retail/ Residential Investment For Sale, 51 High Street, Thornton Heath, CR7 8RW","1,347 ",800000, CR7 8RW,CR7,Retail/ Residential Investment For Sale
"340 - 342 Athlon Road, Alperton, HA0 1BX","33,552 ",8250000, HA0 1BX,HA0,340 - 342 Athlon Road
"Light Industrial Warehouse with Offices, Unit 17 Willow Lane Business Park, 1-11 Willow Lane, Mitcham, CR4 4NA","9,128 ",850000, CR4 4NA,CR4,Light Industrial Warehouse with Offices
"Unit 16, 1-11 Willow Lane, Mitcham, CR4 4NA","15,403 ",1400000, CR4 4NA,CR4,Unit 16
"Unit 27 Wadsworth Business Centre, 21 Wadsworth Road, Perivale, UB6 7LQ","1,921 ",500000, UB6 7LQ,UB6,Unit 27 Wadsworth Business Centre
"Units 1 - 2, Wadsworth Close, Perivale, UB6 7JF","33,332 ",5600000, UB6 7JF,UB6,Units 1 - 2
"Self Contained Office Suites, Whetstone Square, 1060-1072 High Road, Whetstone, N20 0QP","1,532 ",1200000, N20 0QP,N20,Self Contained Office Suites
"308 Thornton Road, Croydon, CR0 3EU","1,511 ",475000, CR0 3EU,CR0,308 Thornton Road
"Industrial Premises With 4 Level Loading Doors, 22 Eastbury Road, London, E6 6LP","32,400 ",8200000, E6 6LP,E6,Industrial Premises With 4 Level Loading Doors
"12 Goat Road, Mitcham, CR4 4HU","2,325 ",395000, CR4 4HU,CR4,12 Goat Road
"New Ground Floor Offices, Liberty Square, 1230-1232 High Road, Whetstone, London, N20 0LH","4,580 ",1534000, N20 0LH,N20,New Ground Floor Offices
"Modern Offices For Sale, Liberty Square, 1230-1232 High Road, Whetstone, N20 0LH","9,504 ",3183840, N20 0LH,N20,Modern Offices For Sale
"Commercial Unit with A4 Planning Use, 1 Brookhill Road, Woolwich, SE18 6UF","1,600 ",350000, SE18 6UF,SE18,Commercial Unit with A4 Planning Use
"256 Grand Drive, Lower Morden, SW20 9NE","1,105 ",250000, SW20 9NE,SW20,256 Grand Drive
"3-5 High Street, Croydon, CR0 1QB","5,288 ",1425000, CR0 1QB,CR0,3-5 High Street
"7 Highview Parade, Woodford Avenue, Redbridge, IG4 5EP","1,205 ",295000, IG4 5EP,IG4,7 Highview Parade
"Garage / Bodyshop For Sale, 48c High Street, Edgware, HA8 7EQ","1,980 ",650000, HA8 7EQ,HA8,Garage / Bodyshop For Sale
"Alpha Place, Garth Road, Lower Morden, SM4 4TQ","26,174 ",3500000, SM4 4TQ,SM4,Alpha Place
"Elizabeth House, 54-58 High Street, Edgware, HA8 7EJ","3,014 ",825000, HA8 7EJ,HA8,Elizabeth House
"56-58 Angel Hill, Sutton, SM1 3EW","1,650 ",425000, SM1 3EW,SM1,56-58 Angel Hill
"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ","4,162 ",1100000, TW1 3JZ,TW1,Substantial Corner Property Investment
"Unit 1, 193 Garth Road, Morden, SM4 4LZ","5,573 ",675000, SM4 4LZ,SM4,Unit 1
"Unit 2, 193 Garth Road, Morden, SM4 4LZ","3,439 ",625000, SM4 4LZ,SM4,Unit 2
"49 Wandle Road, Croydon, CR0 1DF","2,873 ",735000, CR0 1DF,CR0,49 Wandle Road
"F1 Saffron Tower Saffron Square, Wellesley Road, Croydon, CR0 2FT","1,846 ",750000, CR0 2FT,CR0,F1 Saffron Tower Saffron Square
"379 Footscray Road, New Eltham, SE9 2DR","2,235 ",525000, SE9 2DR,SE9,379 Footscray Road
"Long Leasehold Warehouse For Sale, Unit 4C Redburn Industrial Estate, Woodall Road, Enfield, EN3 4LE","2,407 ",355000, EN3 4LE,EN3,Long Leasehold Warehouse For Sale
"68 High Street , Ponders End, Enfield, EN3 4ER","1,441 ",200000, EN3 4ER,EN3,68 High Street 
"1 Parker Road, Croydon, CR0 1DU","1,503 ",500000, CR0 1DU,CR0,1 Parker Road
"Residential Development Opportunity, 165 & 167 Coombe Road, Croydon, CR0 5SQ","6,781 ",2550000, CR0 5SQ,CR0,Residential Development Opportunity
"B1 Office Suitable For Other Uses, Kentonian Close, Harrow, HA3 8FF",206," 1,500 ", HA3 8FF,HA3,B1 Office Suitable For Other Uses
"28 London Road, Enfield, EN2 6ED","1,333 ",475000, EN2 6ED,EN2,28 London Road
"Unit 8 Peerglow Estate, Queensway, Enfield, EN3 4SB","2,680 ",465000, EN3 4SB,EN3,Unit 8 Peerglow Estate
"Unit 2 Mariner Business Centre, 1 Kings Way, Croydon, CR0 4GE","4,504 ",995000, CR0 4GE,CR0,Unit 2 Mariner Business Centre
"Workshop With Offices, Units 13 C & D, Queensway, Enfield, EN3 4SA","5,080 ",1000000, EN3 4SA,EN3,Workshop With Offices
"8 & 8A Southbury Road, Enfield, EN1 1YT","2,024 ",725000, EN1 1YT,EN1,8 & 8A Southbury Road
"Existing Office Block With Planning, Marston Court 98-106, Manor Road, Wallington, SM6 0DW","4,758 ",1000000, SM6 0DW,SM6,Existing Office Block With Planning
"Mixed Use Commercial & Residential Conversion, 9-10 The Parade, Beynon Road, Carshalton, SM5 3RL","2,242 ",795000, SM5 3RL,SM5,Mixed Use Commercial & Residential Conversion
"Station Road, Harrow HA1, HA1 2RX, Greenhill, HA1 2RX","1,500 ",110000, HA1 2RX,HA1,Station Road
"94-94a Stafford Road, Wallington, SM6 9AY","1,000 ",525000, SM6 9AY,SM6,94-94a Stafford Road
"142-144 High Street, Hounslow, Middlesex, TW3 1LR","7,735 ",3570000, TW3 1LR,TW3,142-144 High Street
"Freehold NatWest - Former in Teddington , 6 High Street, Teddington, TW11 8EW","2,160 ",1400000, TW11 8EW,TW11,Freehold NatWest - Former in Teddington 
"54A St. Albans Road, Barnet, EN5 4LA","3,870 ",1100000, EN5 4LA,EN5,54A St. Albans Road
"Rima House, A13 Approach Unit 2, Ripple Road, Barking, IG11 0RH","30,267 ",4750000, IG11 0RH,IG11,Rima House
"359 Brighton Road, South Croydon, CR2 6ER","1,665 ",450000, CR2 6ER,CR2,359 Brighton Road
"Industrial Premises With Excellent Road Connection, 360 Brighton Road, South Croydon, CR2 6AL","10,836 ",1250000, CR2 6AL,CR2,Industrial Premises With Excellent Road Connection
"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB","23,172 ",6372300, UB2 5FB,UB2,Unit 10D
"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB","16,618 ",4569950, UB2 5FB,UB2,Unit 10D2
"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB","6,553 ",1965900, UB2 5FB,UB2,Unit 10D1
"17 Station Road, Sutton, SM2 6BX","1,991 ",465000, SM2 6BX,SM2,17 Station Road
"Modern Air Conditioned Office Building, Unit 4, Delta Court, Manor Way, Borehamwood, WD6 1FJ","2,250 ",849000, WD6 1FJ,WD6,Modern Air Conditioned Office Building
"No 1 Elstree Way, Borehamwood, Borehamwood, WD6 1RN","58,000 ",12000000, WD6 1RN,WD6,No 1 Elstree Way
"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF","37,462 ",4500000, TW4 6NF,TW4,150-152 Great South West Road
"Mixed Use A3/A4 Business Premises, 57-61 High Street, Epsom, KT17 1RX","2,539 ",900000, KT17 1RX,KT17,Mixed Use A3/A4 Business Premises
"Rear of 33, Nork Way, Banstead, SM7 1PB","1,503 ",335000, SM7 1PB,SM7,Rear of 33
"Markays House, Gordon Road , EN9 1AF","18,068 ",2000000, EN9 1AF,EN9,Markays House
"Miller House, Lea Road, Waltham Abbey, EN9 1AE","13,356 ",1800000, EN9 1AE,EN9,Miller House
"Industrial / Warehouse Premises, 33 Lea Road, Waltham Abbey, EN9 1AJ","6,472 ",1250000, EN9 1AJ,EN9,Industrial / Warehouse Premises
"Shop With Residential Planning Permission For Sale, 89 High Street, Banstead, SM7 2NL","1,167 ",425000, SM7 2NL,SM7,Shop With Residential Planning Permission For Sale
"Retail with Residential Above, 203-203a Fir Tree Road, Epsom, KT17 3LB","2,958 ",775000, KT17 3LB,KT17,Retail with Residential Above
"Retail Premises, 203 Fir Tree Road, Epsom, KT17 3LB","2,958 ",425000, KT17 3LB,KT17,Retail Premises
"Ryefield Avenue, Uxbridge UB10, UB10 9DA, North Hillingdon, UB10 9DA","1,431 ",269950, UB10 9DA,UB10,Ryefield Avenue
"Unit 4 Swan Business Park, Sandpit Road, Dartford, DA1 5ED","12,195 ",2000000, DA1 5ED,DA1,Unit 4 Swan Business Park
"The Paddington Packet Boat, High Road, UB8 2HT","13,285 ",2200000, UB8 2HT,UB8,The Paddington Packet Boat
"Unit 15 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,825 ",440000, UB8 2RZ,UB8,Unit 15 Sarum Complex
"Unit 14 & 15 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","3,565 ",860000, UB8 2RZ,UB8,Unit 14 & 15 Sarum Complex
"Unit 14 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,740 ",420000, UB8 2RZ,UB8,Unit 14 Sarum Complex
"Unit 6 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","3,332 ",650000, UB8 2RZ,UB8,Unit 6 Sarum Complex
"Unit 24, Sarum Complex, Salisbury Road, UB8 2RZ","2,208 ",380000, UB8 2RZ,UB8,Unit 24
"Unit 21 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,796 ",450000, UB8 2RZ,UB8,Unit 21 Sarum Complex
"Unit 2, Polygon Business Centre, Blackthorne Road, SL3 0QT","2,849 ",780000, SL3 0QT,SL3,Unit 2
"2 Beacon Mews, South Road, Weybridge, KT13 9DZ",786," 1,370 ", KT13 9DZ,KT13,2 Beacon Mews
"Horizon East & Horizon West, Randalls Way, Leatherhead, KT22 7TW","9,890 ",3150000, KT22 7TW,KT22,Horizon East & Horizon West
"Horseshoe Business Park, Upper Lye Lane, Park Street, AL2 3TA","10,572 ",3100000, AL2 3TA,AL2,Horseshoe Business Park
"10-12 High Street, Weybridge, KT13 8AB","1,615 ",750000, KT13 8AB,KT13,10-12 High Street
"2 Bridge Street, Leatherhead, KT22 8BZ","2,228 ",900000, KT22 8BZ,KT22,2 Bridge Street
"Unit 1 & Unit 2 Wells Point, Wells Place, Redhill, RH1 3AS","20,883 ",275, RH1 3AS,RH1,Unit 1 & Unit 2 Wells Point
"51-53 Church Street, Staines, TW18 4EN","1,012 ",625000, TW18 4EN,TW18,51-53 Church Street
"Natwest - Former For Sale in Hatfield, Hertfordshi, 35 Town Centre, Hatfield, AL10 0JU","2,887 ",480000, AL10 0JU,AL10,Natwest - Former For Sale in Hatfield
"Unit 11, Chancerygate Business Centre, St. Mary’s Road, SL3 7FL","5,872 ",975000, SL3 7FL,SL3,Unit 11
"Towergate House, Cumberland Works, Wintersells Road, Byfleet, KT14 7LF","4,900 ",1100000, KT14 7LF,KT14,Towergate House
"Towergate House, Wintersells Road, Byfleet, KT14 7LF",915," 4,900 ", KT14 7LF,KT14,Towergate House
"6 The IO Centre Hatfield Business Park, Hatfield, AL10 9EW","12,703 ",1850000, AL10 9EW,AL10,6 The IO Centre Hatfield Business Park
"11-13 The IO Centre Hearle Way, Hatfield, AL10 9EW","2,426 ",595000, AL10 9EW,AL10,11-13 The IO Centre Hearle Way
"Unit 15J Wintersells Industrial Estate, Wintersells Road, Byfleet, KT14 7LF","1,497 ",190000, KT14 7LF,KT14,Unit 15J Wintersells Industrial Estate
"2 High Street, Great Bookham, KT23 4AF","2,416 ",675000, KT23 4AF,KT23,2 High Street
"Office Building Suitable For A Variety Of Uses, 2-4 Packhorse Road, Gerrards Cross, SL9 7QE","6,895 ",3400000, SL9 7QE,SL9,Office Building Suitable For A Variety Of Uses
"Cottage & Beauty Premises, Wexham Street, Stoke Poges, SL3 6NT","1,130 ",675000, SL3 6NT,SL3,Cottage & Beauty Premises
"Unit D, West Side Business Centre , Flex Meadow, Harlow, CM195SR","3,623 ",570000, CM195SR,CM195SR,Unit D
"Unit 3 East Burrowfield, Welwyn Garden City, AL7 4TB","1,993 ",397500, AL7 4TB,AL7,Unit 3 East Burrowfield
"4 West Burrowfield, Welwyn Garden City, AL7 4TW","3,320 ",499950, AL7 4TW,AL7,4 West Burrowfield
"St Andrew House, 46-48 St. Andrew Street, Hertford, SG14 1JA","1,280 ",725000, SG14 1JA,SG14,St Andrew House
"Retail & Office Investment/Development Potential, 129 -133 High Street, Slough, SL1 1DH","3,318 ",1250000, SL1 1DH,SL1,Retail & Office Investment/Development Potential
"Unit 1, Slough Business Centre, Bristol Way, Stoke Gardens, Slough, SL1 3TD","3,784 ",640000, SL1 3TD,SL1,Unit 1
"7 Swallowfields, Welwyn Garden City, AL7 1JA","15,019 ",3500000, AL7 1JA,AL7,7 Swallowfields
"Reavailable due to abortive negotiations - Pescod , Peascod St and High St, Windsor, SL4 1DT",552," 7,292 ", SL4 1DT,SL4,Reavailable due to abortive negotiations - Pescod 
"Office Investment, Rapier House, 4-6 Crane Mead, Ware, SG13 9PW","8,253 ",1800000, SG13 9PW,SG13,Office Investment
"Unit 11 IO Centre , Salfords Industrial Estate, Salfords, RH1 5DY","4,806 ",775000, RH1 5DY,RH1,Unit 11 IO Centre 
"150 High Street, Sevenoaks, TN13 1XE","3,550 ",950000, TN13 1XE,TN13,150 High Street
"Prominent Retail Investment, 143c Sevenoaks High Street, Sevenoaks, TN13 1UY","1,598 ",500000, TN13 1UY,TN13,Prominent Retail Investment
"Unit 2 , 6 West Road , Harlow, CM20 2DU","1,086 ",420000, CM20 2DU,CM20,Unit 2 
"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU","16,873 ",1500000, SG14 3NU,SG14,warrenwood
"37 Chertsey Road, Woking, GU21 5AJ","2,000 ",1200000, GU21 5AJ,GU21,37 Chertsey Road
"4 Station Parade, Beaconsfield, HP9 2PB","1,083 ",750000, HP9 2PB,HP9,4 Station Parade
"Kings Court, Burrows Lane, Gomshall, GU5 9QE",988," 5,335 ", GU5 9QE,GU5,Kings Court
"1 & 1a Station Road, Knebworth, SG3 6AP","1,468 ",380000, SG3 6AP,SG3,1 & 1a Station Road
"Business Units For Sale , Power House, Higham Mead, Chesham, HP5 2AH","1,000 ",189950, HP5 2AH,HP5,Business Units For Sale 
"Power House, Power House, Higham Mead, HP5 2AH","2,030 ",340000, HP5 2AH,HP5,Power House
"Ground Floor Office With Flat Above, 5 The Parade, Burden Way, Guildford, GU2 9PB","1,378 ",395000, GU2 9PB,GU2,Ground Floor Office With Flat Above
"23-25 Woodbridge Hill, Guildford, GU2 9AA","1,661 ",700000, GU2 9AA,GU2,23-25 Woodbridge Hill
"Weyford House, 21-22 Woodbridge Meadows, Guildford, GU1 1BA","8,083 ",750000, GU1 1BA,GU1,Weyford House
"Open Plan Office Suites Over 3 Floors, Leapale House, Leapale Lane, Guildford, GU1 4LY","2,008 ",800000, GU1 4LY,GU1,Open Plan Office Suites Over 3 Floors
"90-92, London Road, East Grinstead, RH19 1EP","1,018 ",375000, RH19 1EP,RH19,90-92
"Open Storage Land With Gated Entrance, Hereford Close, Guildford, GU2 9TA","2,000 ",60000, GU2 9TA,GU2,Open Storage Land With Gated Entrance
"22 Queensway, Stevenage, SG1 1BS","1,234 ",265000, SG1 1BS,SG1,22 Queensway
"1 Bessemer Drive, Stevenage, SG1 2DL","11,117 ",1650000, SG1 2DL,SG1,1 Bessemer Drive
"13 Gateway 1000 Office In High Quality Business Pa, Stevenage, SG1 2FP","6,906 ",1375000, SG1 2FP,SG1,13 Gateway 1000 Office In High Quality Business Pa
"106 High Street, Stevenage, SG1 3DW","2,916 ",450000, SG1 3DW,SG1,106 High Street
"Retail / Residential Investment, The Red Lion, 1 Frindsbury Road, Rochester, ME2 4TA","2,109 ",325000, ME2 4TA,ME2,Retail / Residential Investment
"Retail Premises With 1st Floor Office, 29 High Street, High Wycombe, HP11 2AG","1,237 ",295000, HP11 2AG,HP11,Retail Premises With 1st Floor Office
"Office Building With Development Opportunity , 25 High Street, High Wycombe, HP11 2AG","2,637 ",595000, HP11 2AG,HP11,Office Building With Development Opportunity 
"A3 Unit Investment With Flats , 14 Pauls Row, High Wycombe, HP11 2HQ","1,964 ",1500000, HP11 2HQ,HP11,A3 Unit Investment With Flats 
"Retail Premises With Upper Floor, 117 - 119, Oxford Road, High Wycombe, HP11 2DN","1,988 ",595000, HP11 2DN,HP11,Retail Premises With Upper Floor
"Office Building In Courtyard Setting, Unit 11 Manor Courtyard, Hughenden Avenue, High Wycombe, HP13 5RE","1,065 ",295000, HP13 5RE,HP13,Office Building In Courtyard Setting
"Town Centre Office Building , 9 Buckingham Place, Bellfield Road, High Wycombe, HP13 5HW","2,770 ",695000, HP13 5HW,HP13,Town Centre Office Building 
"Retail Premises With Flat Above, West End Street, High Wycombe, HP11 2JG","1,592 ",450000, HP11 2JG,HP11,Retail Premises With Flat Above
"Office Building, May Suit Other Uses, WG House , 2 Cressex Road, High Wycombe, HP12 4TY","3,502 ",900000, HP12 4TY,HP12,Office Building
"Burch House Lincolns Inn Office Village, Lincoln R, High Wycombe, HP12 3RE","1,874 ",450000, HP12 3RE,HP12,Burch House Lincolns Inn Office Village
"Offices Suitable For Alternative Uses, 4 Newmans Row, Lincolns Inn Office Village, Lincoln Road, High Wycombe, HP12 3RE","2,034 ",457500, HP12 3RE,HP12,Offices Suitable For Alternative Uses
"Unit 8, M2M Park, Maidstone Road, Rochester, ME1 3DQ","3,046 ",520000, ME1 3DQ,ME1,Unit 8
"Unit 9, M2M Park, Maidstone Road, Rochester, ME1 3DQ","3,431 ",585000, ME1 3DQ,ME1,Unit 9
"Unit 10, M2M Park, Maidstone Road, Rochester, ME1 3DQ","3,417 ",580000, ME1 3DQ,ME1,Unit 10
"Industrial / Warehouse and Offices, Unit B/C Cetec House, Lincoln Road, Cressex Business Park, High Wycombe, HP12 1RG","3,320 ",1850000, HP12 1RG,HP12,Industrial / Warehouse and Offices
"Dunstable Road, Luton , Bedfordshire, LU1 1BW, Luton, LU1 1BW","1,000 ",750000, LU1 1BW,LU1,Dunstable Road
"Unit 11 Wedgwood Court Wedgwood Way, Stevenage, SG1 4QR","3,617 ",625000, SG1 4QR,SG1,Unit 11 Wedgwood Court Wedgwood Way
"Retail Investment, Dobbe House, Ewhurst Road, Cranleigh, GU6 7AA","1,080 ",400000, GU6 7AA,GU6,Retail Investment
