prop_desc,prop_size(lower),prop_price,post_code,out_code,type
"Sycamore House, 38-40 High Street, Cranleigh, GU6 8AT","6,032 ",1250000, GU6 8AT,GU6,Sycamore House
"Retail Premises with Offices Above, 202- 204 High Street, Cranleigh, GU6 8RL","1,400 ",495000, GU6 8RL,GU6,Retail Premises with Offices Above
"Retail Unit with Residential Above, 126 High Street, Camberley, GU15 2QN","1,448 ",350000, GU15 2QN,GU15,Retail Unit with Residential Above
"3rd Floor Office With Entry Phone System, Third Floor, 118-128 London Street, Reading, RG1 4SJ","1,340 ",340000, RG1 4SJ,RG1,3rd Floor Office With Entry Phone System
"179a Oxford Road, Reading, RG1 7UZ","1,061 ",650000, RG1 7UZ,RG1,179a Oxford Road
"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL","10,596 ",625000, RG4 5AL,RG4,Industrial / Warehouse For Sale 
"1-3 Trafford Road, Reading, RG1 8JP","12,805 ",1000000, RG1 8JP,RG1,1-3 Trafford Road
"Confidentially Available with B2 Planning Use -, Reading, RG2 0JT","10,560 ",1200000, RG2 0JT,RG2,Confidentially Available with B2 Planning Use -
"HQ Style Business Premises With Car Parking, 448a, Basingstoke Road, Reading, RG2 0RX","26,692 ",4400000, RG2 0RX,RG2,HQ Style Business Premises With Car Parking
"Business Unit Suitable For A Variety Of Uses, 7-8 Bennet Road, Reading, RG2 0QX","17,987 ",3200000, RG2 0QX,RG2,Business Unit Suitable For A Variety Of Uses
"Unit 1 Cutbush Court, Danehill, Reading, RG6 4UW",685," 2,100 ", RG6 4UW,RG6,Unit 1 Cutbush Court
"Office Suites In Attractive Landscaped Grounds, Units 8 & 9 Theale Lakes, Moulden Way, Theale, RG7 4GB","2,050 ",225, RG7 4GB,RG7,Office Suites In Attractive Landscaped Grounds
"Unit 1 Total Park, Station Road, Theale, RG7 4AA","19,618 ",225, RG7 4AA,RG7,Unit 1 Total Park
"Units 1 & 2 Total Park, Station Road, Theale, RG7 4PN","19,618 ",225, RG7 4PN,RG7,Units 1 & 2 Total Park
"Unit 2 Total Park, Station Road, Theale, RG7 4PN","25,590 ",225, RG7 4PN,RG7,Unit 2 Total Park
"Shop With 1st Floor Living Accommodation , 42 Station Road, Wokingham, RG40 2AE","1,721 ",500000, RG40 2AE,RG40,Shop With 1st Floor Living Accommodation 
"PLOT 1, PINEWOOD, TINTAGEL ROAD, Finchampstead, RG40 3JJ","8,712 ",650000, RG40 3JJ,RG40,PLOT 1
"Unit 4 Campbell Court, Campbell Road, Bramley, RG26 5EG","2,067 ",225000, RG26 5EG,RG26,Unit 4 Campbell Court
"Mixed Use Business Premises, 115 Reading Road, Finchampstead, GU46 7LR","5,666 ",750000, GU46 7LR,GU46,Mixed Use Business Premises
"Open Plan Office Suites Over Two Floors, Unit 3 Bacchus House, Calleva Park, Aldermaston, RG7 8EN",987," 1,975 ", RG7 8EN,RG7,Open Plan Office Suites Over Two Floors
"Well Secured Warehouse Investment, Unit 8 Lane End Industrial Park, West Wycombe, HP14 3BY","4,632 ",435000, HP14 3BY,HP14,Well Secured Warehouse Investment
"Retail Unit with Residential Above, 126 High Street, Camberley, GU15 2QN","1,448 ",350000, GU15 2QN,GU15,Retail Unit with Residential Above
"61 High Street, Odiham, RG29 1LF","2,552 ",560000, RG29 1LF,RG29,61 High Street
"Office Building, May Suit Other Uses, WG House , 2 Cressex Road, High Wycombe, HP12 4TY","3,502 ",900000, HP12 4TY,HP12,Office Building
"Offices Suitable For Alternative Uses, 4 Newmans Row, Lincolns Inn Office Village, Lincoln Road, High Wycombe, HP12 3RE","2,034 ",457500, HP12 3RE,HP12,Offices Suitable For Alternative Uses
"Burch House Lincolns Inn Office Village, Lincoln R, High Wycombe, HP12 3RE","1,874 ",450000, HP12 3RE,HP12,Burch House Lincolns Inn Office Village
"Industrial / Warehouse and Offices, Unit B/C Cetec House, Lincoln Road, Cressex Business Park, High Wycombe, HP12 1RG","3,320 ",1850000, HP12 1RG,HP12,Industrial / Warehouse and Offices
"Retail Premises With Flat Above, West End Street, High Wycombe, HP11 2JG","1,592 ",450000, HP11 2JG,HP11,Retail Premises With Flat Above
"A3 Unit Investment With Flats , 14 Pauls Row, High Wycombe, HP11 2HQ","1,964 ",1500000, HP11 2HQ,HP11,A3 Unit Investment With Flats 
"Retail Premises With 1st Floor Office, 29 High Street, High Wycombe, HP11 2AG","1,237 ",295000, HP11 2AG,HP11,Retail Premises With 1st Floor Office
"Office Building With Development Opportunity , 25 High Street, High Wycombe, HP11 2AG","2,637 ",595000, HP11 2AG,HP11,Office Building With Development Opportunity 
"Town Centre Office Building , 9 Buckingham Place, Bellfield Road, High Wycombe, HP13 5HW","2,770 ",695000, HP13 5HW,HP13,Town Centre Office Building 
"Retail Premises With Upper Floor, 117 - 119, Oxford Road, High Wycombe, HP11 2DN","1,988 ",595000, HP11 2DN,HP11,Retail Premises With Upper Floor
"For Sale - Former Natwest Property in Didcot, Oxfo, 124 Broadway, Didcot, OX11 8AD","1,452 ",200000, OX11 8AD,OX11,For Sale - Former Natwest Property in Didcot
"Detached Self Contained Offices, Alpha House, 9-11 Alexandra Road, Farnborough, GU14 6BU","4,141 ",975000, GU14 6BU,GU14,Detached Self Contained Offices
"Reavailable due to abortive negotiations - Pescod , Peascod St and High St, Windsor, SL4 1DT",552," 7,292 ", SL4 1DT,SL4,Reavailable due to abortive negotiations - Pescod 
"Office Building In Courtyard Setting, Unit 11 Manor Courtyard, Hughenden Avenue, High Wycombe, HP13 5RE","1,065 ",295000, HP13 5RE,HP13,Office Building In Courtyard Setting
"Unit 1, Slough Business Centre, Bristol Way, Stoke Gardens, Slough, SL1 3TD","3,784 ",640000, SL1 3TD,SL1,Unit 1
"Retail & Office Investment/Development Potential, 129 -133 High Street, Slough, SL1 1DH","3,318 ",1250000, SL1 1DH,SL1,Retail & Office Investment/Development Potential
"Former Travel Agents Suitable For A1 or A2 Use, 32 Union Street, Aldershot, GU11 1EW","2,849 ",425000, GU11 1EW,GU11,Former Travel Agents Suitable For A1 or A2 Use
"Lock up Shop for Sale, 83 High Street, Aldershot, GU11 1BY","1,813 ",300000, GU11 1BY,GU11,Lock up Shop for Sale
"4 Station Parade, Beaconsfield, HP9 2PB","1,083 ",750000, HP9 2PB,HP9,4 Station Parade
"Cottage & Beauty Premises, Wexham Street, Stoke Poges, SL3 6NT","1,130 ",675000, SL3 6NT,SL3,Cottage & Beauty Premises
"Unit 11, Chancerygate Business Centre, St. Mary’s Road, SL3 7FL","5,872 ",975000, SL3 7FL,SL3,Unit 11
"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU","2,475 ",825000, HP27 0RU,HP27,Public House And Restaurant 
"Bar With Parking & Garden To The Rear, The Bull Inn, Alton Road, Bentley, GU10 5JH","2,729 ",395000, GU10 5JH,GU10,Bar With Parking & Garden To The Rear
"68-68A Ridgway Road, Farnham, GU9 8NS","2,566 ",515000, GU9 8NS,GU9,68-68A Ridgway Road
"Unit C5 Regent Park, Summerleys Road, Princes Risborough, HP27 9LE","3,307 ",545000, HP27 9LE,HP27,Unit C5 Regent Park
"51-53 Church Street, Staines, TW18 4EN","1,012 ",625000, TW18 4EN,TW18,51-53 Church Street
"Unit 2, Polygon Business Centre, Blackthorne Road, SL3 0QT","2,849 ",780000, SL3 0QT,SL3,Unit 2
"Office Building Suitable For A Variety Of Uses, 2-4 Packhorse Road, Gerrards Cross, SL9 7QE","6,895 ",3400000, SL9 7QE,SL9,Office Building Suitable For A Variety Of Uses
"37 Chertsey Road, Woking, GU21 5AJ","2,000 ",1200000, GU21 5AJ,GU21,37 Chertsey Road
"7 Vineyard Chambers, Vineyard, Abingdon, OX14 3PX","2,015 ",395000, OX14 3PX,OX14,7 Vineyard Chambers
"98 Ock Street, Abingdon, OX14 5DH","1,012 ",200000, OX14 5DH,OX14,98 Ock Street
"94 Ock Street, Abingdon, OX14 5DH","1,514 ",275000, OX14 5DH,OX14,94 Ock Street
"8 Normandy Street, Alton, GU34 1BX","1,352 ",285000, GU34 1BX,GU34,8 Normandy Street
"Ground Floor Office With Flat Above, 5 The Parade, Burden Way, Guildford, GU2 9PB","1,378 ",395000, GU2 9PB,GU2,Ground Floor Office With Flat Above
"Open Storage Land With Gated Entrance, Hereford Close, Guildford, GU2 9TA","2,000 ",60000, GU2 9TA,GU2,Open Storage Land With Gated Entrance
"Unit 21 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,796 ",450000, UB8 2RZ,UB8,Unit 21 Sarum Complex
"Unit 14 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,740 ",420000, UB8 2RZ,UB8,Unit 14 Sarum Complex
"Unit 24, Sarum Complex, Salisbury Road, UB8 2RZ","2,208 ",380000, UB8 2RZ,UB8,Unit 24
"Unit 6 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","3,332 ",650000, UB8 2RZ,UB8,Unit 6 Sarum Complex
"Unit 14 & 15 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","3,565 ",860000, UB8 2RZ,UB8,Unit 14 & 15 Sarum Complex
"Unit 15 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,825 ",440000, UB8 2RZ,UB8,Unit 15 Sarum Complex
"The Paddington Packet Boat, High Road, UB8 2HT","13,285 ",2200000, UB8 2HT,UB8,The Paddington Packet Boat
"23-25 Woodbridge Hill, Guildford, GU2 9AA","1,661 ",700000, GU2 9AA,GU2,23-25 Woodbridge Hill
"Weyford House, 21-22 Woodbridge Meadows, Guildford, GU1 1BA","8,083 ",750000, GU1 1BA,GU1,Weyford House
"Unit 15J Wintersells Industrial Estate, Wintersells Road, Byfleet, KT14 7LF","1,497 ",190000, KT14 7LF,KT14,Unit 15J Wintersells Industrial Estate
"Towergate House, Cumberland Works, Wintersells Road, Byfleet, KT14 7LF","4,900 ",1100000, KT14 7LF,KT14,Towergate House
"Towergate House, Wintersells Road, Byfleet, KT14 7LF",915," 4,900 ", KT14 7LF,KT14,Towergate House
"Open Plan Office Suites Over 3 Floors, Leapale House, Leapale Lane, Guildford, GU1 4LY","2,008 ",800000, GU1 4LY,GU1,Open Plan Office Suites Over 3 Floors
"10-12 High Street, Weybridge, KT13 8AB","1,615 ",750000, KT13 8AB,KT13,10-12 High Street
"41A Magdalen Road, Oxford, OX4 1RB","2,312 ",485000, OX4 1RB,OX4,41A Magdalen Road
"Detached Self-Contained Offices, The Old Barn, Eashing, Godalming, GU7 2QF","1,429 ",595000, GU7 2QF,GU7,Detached Self-Contained Offices
"2 Beacon Mews, South Road, Weybridge, KT13 9DZ",786," 1,370 ", KT13 9DZ,KT13,2 Beacon Mews
"Business Units For Sale , Power House, Higham Mead, Chesham, HP5 2AH","1,000 ",189950, HP5 2AH,HP5,Business Units For Sale 
"Power House, Power House, Higham Mead, HP5 2AH","2,030 ",340000, HP5 2AH,HP5,Power House
"Ryefield Avenue, Uxbridge UB10, UB10 9DA, North Hillingdon, UB10 9DA","1,431 ",269950, UB10 9DA,UB10,Ryefield Avenue
"7 Church Street, Godalming, GU7 1EQ","1,763 ",395000, GU7 1EQ,GU7,7 Church Street
"Residential Development Opportunity, 110 Ockford Road, Godalming, GU7 1RG","4,000 ",895000, GU7 1RG,GU7,Residential Development Opportunity
"Old Church and Rotunda, The Burys, Godalming, GU7 1FN","9,185 ",1850000, GU7 1FN,GU7,Old Church and Rotunda
"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF","37,462 ",4500000, TW4 6NF,TW4,150-152 Great South West Road
"Willow Court, Minns Business Park, Oxford, OX2 0JB","22,526 ",8500000, OX2 0JB,OX2,Willow Court
"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB","16,618 ",4569950, UB2 5FB,UB2,Unit 10D2
"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB","6,553 ",1965900, UB2 5FB,UB2,Unit 10D1
"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB","23,172 ",6372300, UB2 5FB,UB2,Unit 10D
"Development Opportunity, 25 Kings Road, Haslemere, GU27 2QA","1,800 ",425000, GU27 2QA,GU27,Development Opportunity
"Freehold NatWest - Former in Teddington , 6 High Street, Teddington, TW11 8EW","2,160 ",1400000, TW11 8EW,TW11,Freehold NatWest - Former in Teddington 
"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ","4,162 ",1100000, TW1 3JZ,TW1,Substantial Corner Property Investment
"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG","1,760 ",495000, GU27 2HG,GU27,Retail Premises
"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD","3,071 ",875000, GU27 2HD,GU27,Freehold Retail Property in Haslemere
"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE","1,238 ",450000, GU27 2JE,GU27,Town Centre New Modern Office
"Kings Court, Burrows Lane, Gomshall, GU5 9QE",988," 5,335 ", GU5 9QE,GU5,Kings Court
"2 High Street, Great Bookham, KT23 4AF","2,416 ",675000, KT23 4AF,KT23,2 High Street
"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD","1,595 ",265000, GU33 7AD,GU33,Self Contained Offices with On Site Parking
"Unit 18 Smeaton Road, West Portway Industrial Estate, Andover, SP10 3LF","11,579 ",575000, SP10 3LF,SP10,Unit 18 Smeaton Road
"Units 1 - 2, Wadsworth Close, Perivale, UB6 7JF","33,332 ",5600000, UB6 7JF,UB6,Units 1 - 2
"Unit 27 Wadsworth Business Centre, 21 Wadsworth Road, Perivale, UB6 7LQ","1,921 ",500000, UB6 7LQ,UB6,Unit 27 Wadsworth Business Centre
"Station Road, Harrow HA1, HA1 2RX, Greenhill, HA1 2RX","1,500 ",110000, HA1 2RX,HA1,Station Road
"340 - 342 Athlon Road, Alperton, HA0 1BX","33,552 ",8250000, HA0 1BX,HA0,340 - 342 Athlon Road
"Horizon East & Horizon West, Randalls Way, Leatherhead, KT22 7TW","9,890 ",3150000, KT22 7TW,KT22,Horizon East & Horizon West
"B1 Office Suitable For Other Uses, Kentonian Close, Harrow, HA3 8FF",206," 1,500 ", HA3 8FF,HA3,B1 Office Suitable For Other Uses
"2 Bridge Street, Leatherhead, KT22 8BZ","2,228 ",900000, KT22 8BZ,KT22,2 Bridge Street
"Retail Premises with Offices Above, 202- 204 High Street, Cranleigh, GU6 8RL","1,400 ",495000, GU6 8RL,GU6,Retail Premises with Offices Above
"41A Magdalen Road, Oxford, OX4 1RB","2,312 ",485000, OX4 1RB,OX4,41A Magdalen Road
"Willow Court, Minns Business Park, Oxford, OX2 0JB","22,526 ",8500000, OX2 0JB,OX2,Willow Court
"7 Vineyard Chambers, Vineyard, Abingdon, OX14 3PX","2,015 ",395000, OX14 3PX,OX14,7 Vineyard Chambers
"98 Ock Street, Abingdon, OX14 5DH","1,012 ",200000, OX14 5DH,OX14,98 Ock Street
"94 Ock Street, Abingdon, OX14 5DH","1,514 ",275000, OX14 5DH,OX14,94 Ock Street
"For Sale - Former Natwest Property in Didcot, Oxfo, 124 Broadway, Didcot, OX11 8AD","1,452 ",200000, OX11 8AD,OX11,For Sale - Former Natwest Property in Didcot
"Unit C5 Regent Park, Summerleys Road, Princes Risborough, HP27 9LE","3,307 ",545000, HP27 9LE,HP27,Unit C5 Regent Park
"Well Secured Warehouse Investment, Unit 8 Lane End Industrial Park, West Wycombe, HP14 3BY","4,632 ",435000, HP14 3BY,HP14,Well Secured Warehouse Investment
"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU","2,475 ",825000, HP27 0RU,HP27,Public House And Restaurant 
"Industrial / Warehouse and Offices, Unit B/C Cetec House, Lincoln Road, Cressex Business Park, High Wycombe, HP12 1RG","3,320 ",1850000, HP12 1RG,HP12,Industrial / Warehouse and Offices
"Burch House Lincolns Inn Office Village, Lincoln R, High Wycombe, HP12 3RE","1,874 ",450000, HP12 3RE,HP12,Burch House Lincolns Inn Office Village
"Offices Suitable For Alternative Uses, 4 Newmans Row, Lincolns Inn Office Village, Lincoln Road, High Wycombe, HP12 3RE","2,034 ",457500, HP12 3RE,HP12,Offices Suitable For Alternative Uses
"Office Building, May Suit Other Uses, WG House , 2 Cressex Road, High Wycombe, HP12 4TY","3,502 ",900000, HP12 4TY,HP12,Office Building
"Retail Premises With Flat Above, West End Street, High Wycombe, HP11 2JG","1,592 ",450000, HP11 2JG,HP11,Retail Premises With Flat Above
"Town Centre Office Building , 9 Buckingham Place, Bellfield Road, High Wycombe, HP13 5HW","2,770 ",695000, HP13 5HW,HP13,Town Centre Office Building 
"Office Building In Courtyard Setting, Unit 11 Manor Courtyard, Hughenden Avenue, High Wycombe, HP13 5RE","1,065 ",295000, HP13 5RE,HP13,Office Building In Courtyard Setting
"Retail Premises With Upper Floor, 117 - 119, Oxford Road, High Wycombe, HP11 2DN","1,988 ",595000, HP11 2DN,HP11,Retail Premises With Upper Floor
"1-3 Trafford Road, Reading, RG1 8JP","12,805 ",1000000, RG1 8JP,RG1,1-3 Trafford Road
"A3 Unit Investment With Flats , 14 Pauls Row, High Wycombe, HP11 2HQ","1,964 ",1500000, HP11 2HQ,HP11,A3 Unit Investment With Flats 
"Unit 1 Total Park, Station Road, Theale, RG7 4AA","19,618 ",225, RG7 4AA,RG7,Unit 1 Total Park
"Office Building With Development Opportunity , 25 High Street, High Wycombe, HP11 2AG","2,637 ",595000, HP11 2AG,HP11,Office Building With Development Opportunity 
"Retail Premises With 1st Floor Office, 29 High Street, High Wycombe, HP11 2AG","1,237 ",295000, HP11 2AG,HP11,Retail Premises With 1st Floor Office
"Units 1 & 2 Total Park, Station Road, Theale, RG7 4PN","19,618 ",225, RG7 4PN,RG7,Units 1 & 2 Total Park
"Unit 2 Total Park, Station Road, Theale, RG7 4PN","25,590 ",225, RG7 4PN,RG7,Unit 2 Total Park
"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL","10,596 ",625000, RG4 5AL,RG4,Industrial / Warehouse For Sale 
"179a Oxford Road, Reading, RG1 7UZ","1,061 ",650000, RG1 7UZ,RG1,179a Oxford Road
"Office Suites In Attractive Landscaped Grounds, Units 8 & 9 Theale Lakes, Moulden Way, Theale, RG7 4GB","2,050 ",225, RG7 4GB,RG7,Office Suites In Attractive Landscaped Grounds
"3rd Floor Office With Entry Phone System, Third Floor, 118-128 London Street, Reading, RG1 4SJ","1,340 ",340000, RG1 4SJ,RG1,3rd Floor Office With Entry Phone System
"Confidentially Available with B2 Planning Use -, Reading, RG2 0JT","10,560 ",1200000, RG2 0JT,RG2,Confidentially Available with B2 Planning Use -
"HQ Style Business Premises With Car Parking, 448a, Basingstoke Road, Reading, RG2 0RX","26,692 ",4400000, RG2 0RX,RG2,HQ Style Business Premises With Car Parking
"Business Unit Suitable For A Variety Of Uses, 7-8 Bennet Road, Reading, RG2 0QX","17,987 ",3200000, RG2 0QX,RG2,Business Unit Suitable For A Variety Of Uses
"Unicorn Business Centre, Ridgeway, Swindon, SN4 0HT","10,792 ",1200000, SN4 0HT,SN4,Unicorn Business Centre
"Retail / Cafe or Restaurant Premises, 21-22 Regent Street, Swindon, SN1 1JL","3,190 ",575000, SN1 1JL,SN1,Retail / Cafe or Restaurant Premises
"Potential Redevelopment Opportunity, 19E & 20 Regent Street, Swindon, SN1 1JL","2,004 ",1000000, SN1 1JL,SN1,Potential Redevelopment Opportunity
"Unit 1 Cutbush Court, Danehill, Reading, RG6 4UW",685," 2,100 ", RG6 4UW,RG6,Unit 1 Cutbush Court
"Open Plan Office Suites Over Two Floors, Unit 3 Bacchus House, Calleva Park, Aldermaston, RG7 8EN",987," 1,975 ", RG7 8EN,RG7,Open Plan Office Suites Over Two Floors
"Business Units For Sale , Power House, Higham Mead, Chesham, HP5 2AH","1,000 ",189950, HP5 2AH,HP5,Business Units For Sale 
"Power House, Power House, Higham Mead, HP5 2AH","2,030 ",340000, HP5 2AH,HP5,Power House
"4 Station Parade, Beaconsfield, HP9 2PB","1,083 ",750000, HP9 2PB,HP9,4 Station Parade
"Public House For Sale in Ogbourne St. George, Marl, Inn With The Well, Marlborough, SN8 1SQ","4,185 ",625000, SN8 1SQ,SN8,Public House For Sale in Ogbourne St. George
"Shop With 1st Floor Living Accommodation , 42 Station Road, Wokingham, RG40 2AE","1,721 ",500000, RG40 2AE,RG40,Shop With 1st Floor Living Accommodation 
"Unit 1, Slough Business Centre, Bristol Way, Stoke Gardens, Slough, SL1 3TD","3,784 ",640000, SL1 3TD,SL1,Unit 1
"Retail & Office Investment/Development Potential, 129 -133 High Street, Slough, SL1 1DH","3,318 ",1250000, SL1 1DH,SL1,Retail & Office Investment/Development Potential
"Reavailable due to abortive negotiations - Pescod , Peascod St and High St, Windsor, SL4 1DT",552," 7,292 ", SL4 1DT,SL4,Reavailable due to abortive negotiations - Pescod 
"Cottage & Beauty Premises, Wexham Street, Stoke Poges, SL3 6NT","1,130 ",675000, SL3 6NT,SL3,Cottage & Beauty Premises
"Unit 11, Chancerygate Business Centre, St. Mary’s Road, SL3 7FL","5,872 ",975000, SL3 7FL,SL3,Unit 11
"4 Station Parade, Beaconsfield, HP9 2PB","1,083 ",750000, HP9 2PB,HP9,4 Station Parade
"Office Building, May Suit Other Uses, WG House , 2 Cressex Road, High Wycombe, HP12 4TY","3,502 ",900000, HP12 4TY,HP12,Office Building
"Office Building Suitable For A Variety Of Uses, 2-4 Packhorse Road, Gerrards Cross, SL9 7QE","6,895 ",3400000, SL9 7QE,SL9,Office Building Suitable For A Variety Of Uses
"Burch House Lincolns Inn Office Village, Lincoln R, High Wycombe, HP12 3RE","1,874 ",450000, HP12 3RE,HP12,Burch House Lincolns Inn Office Village
"Offices Suitable For Alternative Uses, 4 Newmans Row, Lincolns Inn Office Village, Lincoln Road, High Wycombe, HP12 3RE","2,034 ",457500, HP12 3RE,HP12,Offices Suitable For Alternative Uses
"Retail Premises With 1st Floor Office, 29 High Street, High Wycombe, HP11 2AG","1,237 ",295000, HP11 2AG,HP11,Retail Premises With 1st Floor Office
"Office Building With Development Opportunity , 25 High Street, High Wycombe, HP11 2AG","2,637 ",595000, HP11 2AG,HP11,Office Building With Development Opportunity 
"A3 Unit Investment With Flats , 14 Pauls Row, High Wycombe, HP11 2HQ","1,964 ",1500000, HP11 2HQ,HP11,A3 Unit Investment With Flats 
"Industrial / Warehouse and Offices, Unit B/C Cetec House, Lincoln Road, Cressex Business Park, High Wycombe, HP12 1RG","3,320 ",1850000, HP12 1RG,HP12,Industrial / Warehouse and Offices
"Retail Premises With Flat Above, West End Street, High Wycombe, HP11 2JG","1,592 ",450000, HP11 2JG,HP11,Retail Premises With Flat Above
"Retail Premises With Upper Floor, 117 - 119, Oxford Road, High Wycombe, HP11 2DN","1,988 ",595000, HP11 2DN,HP11,Retail Premises With Upper Floor
"Town Centre Office Building , 9 Buckingham Place, Bellfield Road, High Wycombe, HP13 5HW","2,770 ",695000, HP13 5HW,HP13,Town Centre Office Building 
