prop_desc,prop_size(lower),prop_price,post_code,out_code,type
wycombe,"New Industrial/Warehouse Development, Lincoln Road, High Wycombe, HP12 3RB"," 30,056 ",wycombe,,wycombe
wycombe,"New Warehouse / Industrial / Trade Counter Units, 40:40 Link, Mill End Road/Chapel Lane, High Wycombe, HP12 4BG"," 30,193 ",wycombe,,wycombe
wycombe,"Development of Warehouse/Industrial/Trade Units, 40:40 Link, Mill End Road/Chapel Lane, High Wycombe, HP12 4BG"," 30,193 ",wycombe,,wycombe
wycombe,"40:40 Link, Mill End Road, Chapel Lane, High Wycombe, HP12 4BG"," 30,193 ",wycombe,,wycombe
wycombe,"Eclipse, Globe Park, Parkway, Marlow, SL7 1YL"," 9,424 ",wycombe,,wycombe
wycombe,"Duo Globe Business Park, Fieldhouse Lane, Marlow, SL7 1HZ"," 46,325 ",wycombe,,wycombe
wycombe,"Modern Office Buildings, Buildings 1 - 4 The Courtyard Glory Park, Wycombe , Loudwater, HP10 0DG"," 12,183 ",wycombe,,wycombe
wycombe,"Maidenhead Branch, Units 1-4 The Courtyard, Glory Park, Loudwater, HP10 0DG"," 12,183 ",wycombe,,wycombe
wycombe,"Open Plan Office Suites With Disabled Lift, Units 5 & 6, The Courtyard Glory Park , Wycombe Lane, Loudwater, HP10 0DG"," 3,920 ",wycombe,,wycombe
wycombe,"Maidenhead Branch, Units 5 & 6, The Courtyard, Glory Park, Loudwater, HP10 0DG"," 3,920 ",wycombe,,wycombe
wycombe,"For Sale - 3 REFURBISHED INDUSTRIAL 15,715 - 32,14, Wye Business Park, High Wycombe, HP10 0PF"," 32,140 ",wycombe,,wycombe
wycombe,"Wye Business Park, Thomas Road, Wooburn Green, High Wycombe, HP10 0PF"," 32,140 ",wycombe,,wycombe
wycombe,"Industrial Units With B2/B8 Uses , Summerleys Business Centre, Summerleys Road, Princes Risborough, HP27 9EQ"," 13,543 ",wycombe,,wycombe
wycombe,"Unit C5 Regent Park, Summerleys Road, Princes Risborough, HP27 9LE"," 4,591 ",wycombe,,wycombe
wycombe,"Rear Warehouse & Yard Kingsmead Business Park, How, Thame, OX9 3FB"," 70,633 ",wycombe,,wycombe
wycombe,"Tavis House Business Centre, Thame Road, Haddenham, HP17 8LJ"," 76,100 ",wycombe,,wycombe
wycombe,"Phase 3, Aston41, College Road North, Aston Clinton, HP22 5EZ"," 54,639 ",wycombe,,wycombe
wycombe,"Symmetry Park, Aston Clinton, College Road North, Aston Clinton, HP22 5EZ"," 450,000 ",wycombe,,wycombe
wycombe,"Bracknell Branch, Meridian Business Park, Fishponds Road, Wokingham, RG41 2GZ"," 4,342 ",wycombe,,wycombe
wycombe,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR"," 97,600 ",wycombe,,wycombe
wycombe,"Site at r/o Grovebury Road Retail Park, Leighton Buzzard, LU7 4UX"," 20,000 ",wycombe,,wycombe
wycombe,"Units 1 & 2 Total Park, Station Road, Theale, RG7 4PN"," 45,209 ",wycombe,,wycombe
wycombe,"Office Suites In Attractive Landscaped Grounds, Units 8 & 9 Theale Lakes, Moulden Way, Theale, RG7 4GB"," 4,100 ",wycombe,,wycombe
wycombe,"Fully Refurbished Office Accommodation , Cherry Barns, Harwell, OX11 0EY"," 3,710 ",wycombe,,wycombe
wycombe,"Oakmere House, Barley Way, Ancells Business Park, Fleet, GU51 2UT"," 8,115 ",wycombe,,wycombe
wycombe,"Units 3 & 4 Byfleet Technical Centre, Canada Road, Byfleet, KT14 7JX"," 6,800 ",wycombe,,wycombe
wycombe,"The Hawker Building, Wellington Way, Weybridge, KT13 0NY"," 24,878 ",wycombe,,wycombe
wycombe,"Botanic House, 309-317 Chiswick High Road, London, W4 4HH"," 4,668 ",wycombe,,wycombe
wycombe,"11-13 The IO Centre Hearle Way, Hatfield, AL10 9EW"," 4,685 ",wycombe,,wycombe
wycombe,"Butterfield Business Park, Luton, LU2 8DD"," 100,000 ",wycombe,,wycombe
wycombe,"Design and Build at Butterfield Great Marlings, Luton, LU2 8DL"," 130,000 ",wycombe,,wycombe
wycombe,"Self Contained Office Suites, Whetstone Square, 1060-1072 High Road, Whetstone, N20 0QP"," 3,450 ",wycombe,,wycombe
wycombe,"Stratfield House, Station Road, Hook, RG27 9PQ"," 10,958 ",wycombe,,wycombe
wycombe,"BUILD TO SUIT INDUSTRIAL / WAREHOUSE UNITS - 100,0, Axis J9, Phase 3, Bicester, OX26 1RT"," 250,000 ",wycombe,,wycombe
wycombe,"Beacon Point, Church Crookham, Fleet, GU52 8DY"," 22,884 ",wycombe,,wycombe
wycombe,"Beacon Hill Road , Fleet, GU52 8DY"," 45,703 ",wycombe,,wycombe
wycombe,"Tangley Place Barn, Tangley Lane, Guildford, GU3 3JZ"," 10,760 ",wycombe,,wycombe
wycombe,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB"," 2,732 ",wycombe,,wycombe
wycombe,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD"," 8,030 ",wycombe,,wycombe
wycombe,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU"," 4,645 ",wycombe,,wycombe
wycombe,"One Springfield Drive, Springfield Drive, Leatherhead, KT22 7NL"," 39,695 ",wycombe,,wycombe
wycombe,"Horizon East & Horizon West, Randalls Way, Leatherhead, KT22 7TW"," 20,711 ",wycombe,,wycombe
wycombe,"6 Arlington Court, Whittle Way, Stevenage, SG1 2FS"," 6,184 ",wycombe,,wycombe
"Unit 4 Campbell Court, Campbell Road, Bramley, RG26 5EG","2,067 ",225000, RG26 5EG,RG26,Unit 4 Campbell Court
"61 High Street, Odiham, RG29 1LF","2,552 ",560000, RG29 1LF,RG29,61 High Street
"Open Plan Office Suites Over Two Floors, Unit 3 Bacchus House, Calleva Park, Aldermaston, RG7 8EN",987," 1,975 ", RG7 8EN,RG7,Open Plan Office Suites Over Two Floors
"8 Normandy Street, Alton, GU34 1BX","1,352 ",285000, GU34 1BX,GU34,8 Normandy Street
"Office Suites In Attractive Landscaped Grounds, Units 8 & 9 Theale Lakes, Moulden Way, Theale, RG7 4GB","2,050 ",225, RG7 4GB,RG7,Office Suites In Attractive Landscaped Grounds
"Bar With Parking & Garden To The Rear, The Bull Inn, Alton Road, Bentley, GU10 5JH","2,729 ",395000, GU10 5JH,GU10,Bar With Parking & Garden To The Rear
"Unit 2 Total Park, Station Road, Theale, RG7 4PN","25,590 ",225, RG7 4PN,RG7,Unit 2 Total Park
"Units 1 & 2 Total Park, Station Road, Theale, RG7 4PN","19,618 ",225, RG7 4PN,RG7,Units 1 & 2 Total Park
"Unit 1 Total Park, Station Road, Theale, RG7 4AA","19,618 ",225, RG7 4AA,RG7,Unit 1 Total Park
"Business Unit Suitable For A Variety Of Uses, 7-8 Bennet Road, Reading, RG2 0QX","17,987 ",3200000, RG2 0QX,RG2,Business Unit Suitable For A Variety Of Uses
"Mixed Use Business Premises, 115 Reading Road, Finchampstead, GU46 7LR","5,666 ",750000, GU46 7LR,GU46,Mixed Use Business Premises
"HQ Style Business Premises With Car Parking, 448a, Basingstoke Road, Reading, RG2 0RX","26,692 ",4400000, RG2 0RX,RG2,HQ Style Business Premises With Car Parking
"Unit 1 Cutbush Court, Danehill, Reading, RG6 4UW",685," 2,100 ", RG6 4UW,RG6,Unit 1 Cutbush Court
"Confidentially Available with B2 Planning Use -, Reading, RG2 0JT","10,560 ",1200000, RG2 0JT,RG2,Confidentially Available with B2 Planning Use -
"PLOT 1, PINEWOOD, TINTAGEL ROAD, Finchampstead, RG40 3JJ","8,712 ",650000, RG40 3JJ,RG40,PLOT 1
"68-68A Ridgway Road, Farnham, GU9 8NS","2,566 ",515000, GU9 8NS,GU9,68-68A Ridgway Road
"3rd Floor Office With Entry Phone System, Third Floor, 118-128 London Street, Reading, RG1 4SJ","1,340 ",340000, RG1 4SJ,RG1,3rd Floor Office With Entry Phone System
"179a Oxford Road, Reading, RG1 7UZ","1,061 ",650000, RG1 7UZ,RG1,179a Oxford Road
"Former Travel Agents Suitable For A1 or A2 Use, 32 Union Street, Aldershot, GU11 1EW","2,849 ",425000, GU11 1EW,GU11,Former Travel Agents Suitable For A1 or A2 Use
"Lock up Shop for Sale, 83 High Street, Aldershot, GU11 1BY","1,813 ",300000, GU11 1BY,GU11,Lock up Shop for Sale
"1-3 Trafford Road, Reading, RG1 8JP","12,805 ",1000000, RG1 8JP,RG1,1-3 Trafford Road
"Shop With 1st Floor Living Accommodation , 42 Station Road, Wokingham, RG40 2AE","1,721 ",500000, RG40 2AE,RG40,Shop With 1st Floor Living Accommodation 
"Detached Self Contained Offices, Alpha House, 9-11 Alexandra Road, Farnborough, GU14 6BU","4,141 ",975000, GU14 6BU,GU14,Detached Self Contained Offices
"Retail Unit with Residential Above, 126 High Street, Camberley, GU15 2QN","1,448 ",350000, GU15 2QN,GU15,Retail Unit with Residential Above
"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL","10,596 ",625000, RG4 5AL,RG4,Industrial / Warehouse For Sale 
"UNDER OFFER - For Sale - Retail Property in Winche, 67-68 High Street, Winchester, SO23 9DA","4,024 ",1000000, SO23 9DA,SO23,UNDER OFFER - For Sale - Retail Property in Winche
"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD","1,595 ",265000, GU33 7AD,GU33,Self Contained Offices with On Site Parking
"Trademark House, Ramshill, Petersfield, GU31 4AT","20,532 ",2000000, GU31 4AT,GU31,Trademark House
"Unit 18 Smeaton Road, West Portway Industrial Estate, Andover, SP10 3LF","11,579 ",575000, SP10 3LF,SP10,Unit 18 Smeaton Road
"Detached Self-Contained Offices, The Old Barn, Eashing, Godalming, GU7 2QF","1,429 ",595000, GU7 2QF,GU7,Detached Self-Contained Offices
"Development Opportunity, 25 Kings Road, Haslemere, GU27 2QA","1,800 ",425000, GU27 2QA,GU27,Development Opportunity
"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG","1,760 ",495000, GU27 2HG,GU27,Retail Premises
"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD","3,071 ",875000, GU27 2HD,GU27,Freehold Retail Property in Haslemere
"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE","1,238 ",450000, GU27 2JE,GU27,Town Centre New Modern Office
"Residential Development Opportunity, 110 Ockford Road, Godalming, GU7 1RG","4,000 ",895000, GU7 1RG,GU7,Residential Development Opportunity
"Open Storage Land With Gated Entrance, Hereford Close, Guildford, GU2 9TA","2,000 ",60000, GU2 9TA,GU2,Open Storage Land With Gated Entrance
"7 Church Street, Godalming, GU7 1EQ","1,763 ",395000, GU7 1EQ,GU7,7 Church Street
"Old Church and Rotunda, The Burys, Godalming, GU7 1FN","9,185 ",1850000, GU7 1FN,GU7,Old Church and Rotunda
"Ground Floor Office With Flat Above, 5 The Parade, Burden Way, Guildford, GU2 9PB","1,378 ",395000, GU2 9PB,GU2,Ground Floor Office With Flat Above
"23-25 Woodbridge Hill, Guildford, GU2 9AA","1,661 ",700000, GU2 9AA,GU2,23-25 Woodbridge Hill
"Weyford House, 21-22 Woodbridge Meadows, Guildford, GU1 1BA","8,083 ",750000, GU1 1BA,GU1,Weyford House
"Open Plan Office Suites Over 3 Floors, Leapale House, Leapale Lane, Guildford, GU1 4LY","2,008 ",800000, GU1 4LY,GU1,Open Plan Office Suites Over 3 Floors
"Office 1 & 2 Building B East Horton Business P, Kn, Eastleigh, SO50 7DZ",991," 6,942 ", SO50 7DZ,SO50,Office 1 & 2 Building B East Horton Business P
"Office 1 Building B East Horton Business Park, Kno, Eastleigh, SO50 7DZ","1,313 ",965000, SO50 7DZ,SO50,Office 1 Building B East Horton Business Park
"Office 2 Building B East Horton Business Park, Kno, Eastleigh, SO50 7DZ",991," 2,989 ", SO50 7DZ,SO50,Office 2 Building B East Horton Business Park
"37 Chertsey Road, Woking, GU21 5AJ","2,000 ",1200000, GU21 5AJ,GU21,37 Chertsey Road
"Sleepy Hollow Business Park, Ampfield Hill, Romsey, SO51 9BD","1,353 ",338250, SO51 9BD,SO51,Sleepy Hollow Business Park
"Office 1 Sleepy Hollow, Ampfield Hill, Romsey, SO51 9BD","1,566 ",391500, SO51 9BD,SO51,Office 1 Sleepy Hollow
"Office 3 Sleepy Hollow, Ampfield Hill, Romsey, SO51 9BD","2,846 ",711500, SO51 9BD,SO51,Office 3 Sleepy Hollow
"Office 4 Sleepy Hollow, Ampfield Hill, Romsey, SO51 9BD","1,949 ",487250, SO51 9BD,SO51,Office 4 Sleepy Hollow
"Office 5 Sleepy Hollow, Ampfield Hill, Romsey, SO51 9BD","1,353 ",338250, SO51 9BD,SO51,Office 5 Sleepy Hollow
"For Sale - Former Natwest Property in Didcot, Oxfo, 124 Broadway, Didcot, OX11 8AD","1,452 ",200000, OX11 8AD,OX11,For Sale - Former Natwest Property in Didcot
"C6 Radcliffe Row, Abbotswood Common Road, Romsey, SO51 7HX","1,081 ",255000, SO51 7HX,SO51,C6 Radcliffe Row
"Reavailable due to abortive negotiations - Pescod , Peascod St and High St, Windsor, SL4 1DT",552," 7,292 ", SL4 1DT,SL4,Reavailable due to abortive negotiations - Pescod 
"Flats 1-3 3 Gaters Mill House, Mansbridge Road, Southampton, SO18 3HW","1,960 ",365000, SO18 3HW,SO18,Flats 1-3 3 Gaters Mill House
"2 Park Court Premier Way, Abbey Park, Romsey, SO51 9DH","1,894 ",850000, SO51 9DH,SO51,2 Park Court Premier Way
"Hi-Tech Unit with Laboratories & Warehouse, Hilldale Farm, Titchfield Lane, Fareham, PO17 5NZ","17,220 ",2460000, PO17 5NZ,PO17,Hi-Tech Unit with Laboratories & Warehouse
"Freehold Office Development For Sale, The Watermill, Halfway Bridge, Petworth, GU28 9BP","7,252 ",1250000, GU28 9BP,GU28,Freehold Office Development For Sale
"223 London Road , Waterlooville, PO8 8DA","1,967 ",550000, PO8 8DA,PO8,223 London Road 
"Well Secured Warehouse Investment, Unit 8 Lane End Industrial Park, West Wycombe, HP14 3BY","4,632 ",435000, HP14 3BY,HP14,Well Secured Warehouse Investment
"Unit 15J Wintersells Industrial Estate, Wintersells Road, Byfleet, KT14 7LF","1,497 ",190000, KT14 7LF,KT14,Unit 15J Wintersells Industrial Estate
"1 Manor Farm Road, Southampton, SO18 1NN","2,067 ",250000, SO18 1NN,SO18,1 Manor Farm Road
"Towergate House, Cumberland Works, Wintersells Road, Byfleet, KT14 7LF","4,900 ",1100000, KT14 7LF,KT14,Towergate House
"Towergate House, Wintersells Road, Byfleet, KT14 7LF",915," 4,900 ", KT14 7LF,KT14,Towergate House
"Retail & Office Investment/Development Potential, 129 -133 High Street, Slough, SL1 1DH","3,318 ",1250000, SL1 1DH,SL1,Retail & Office Investment/Development Potential
"Retail Premises with Offices Above, 202- 204 High Street, Cranleigh, GU6 8RL","1,400 ",495000, GU6 8RL,GU6,Retail Premises with Offices Above
"Unit 1, Slough Business Centre, Bristol Way, Stoke Gardens, Slough, SL1 3TD","3,784 ",640000, SL1 3TD,SL1,Unit 1
"51-53 Church Street, Staines, TW18 4EN","1,012 ",625000, TW18 4EN,TW18,51-53 Church Street
"Commercial / Residential Development, 182 -184 Bitterne Road West, Southampton, SO18 1BE","1,810 ",175000, SO18 1BE,SO18,Commercial / Residential Development
"Sycamore House, 38-40 High Street, Cranleigh, GU6 8AT","6,032 ",1250000, GU6 8AT,GU6,Sycamore House
"Retail Investment, Dobbe House, Ewhurst Road, Cranleigh, GU6 7AA","1,080 ",400000, GU6 7AA,GU6,Retail Investment
"Kings Court, Burrows Lane, Gomshall, GU5 9QE",988," 5,335 ", GU5 9QE,GU5,Kings Court
"Office Building, May Suit Other Uses, WG House , 2 Cressex Road, High Wycombe, HP12 4TY","3,502 ",900000, HP12 4TY,HP12,Office Building
"Unit 2 Muira Industrial Estate, William Street, Northam, Southampton, SO14 5QH","5,098 ",475000, SO14 5QH,SO14,Unit 2 Muira Industrial Estate
"10-12 High Street, Weybridge, KT13 8AB","1,615 ",750000, KT13 8AB,KT13,10-12 High Street
"Burch House Lincolns Inn Office Village, Lincoln R, High Wycombe, HP12 3RE","1,874 ",450000, HP12 3RE,HP12,Burch House Lincolns Inn Office Village
"Offices Suitable For Alternative Uses, 4 Newmans Row, Lincolns Inn Office Village, Lincoln Road, High Wycombe, HP12 3RE","2,034 ",457500, HP12 3RE,HP12,Offices Suitable For Alternative Uses
"Industrial / Warehouse and Offices, Unit B/C Cetec House, Lincoln Road, Cressex Business Park, High Wycombe, HP12 1RG","3,320 ",1850000, HP12 1RG,HP12,Industrial / Warehouse and Offices
"Unit 11, Chancerygate Business Centre, St. Mary’s Road, SL3 7FL","5,872 ",975000, SL3 7FL,SL3,Unit 11
"48 Shirley High Street, Southampton, SO15 3NF","1,368 ",265000, SO15 3NF,SO15,48 Shirley High Street
"42 Botley Road, Fareham, SO31 1DX","5,051 ",625000, SO31 1DX,SO31,42 Botley Road
"Offices with Car Parking, Sovereign House, 37 Middle Road, Park Gate, Southampton, SO31 7GH","2,309 ",550000, SO31 7GH,SO31,Offices with Car Parking
"120 St Mary Street, Southampton, SO14 1PG","2,928 ",365000, SO14 1PG,SO14,120 St Mary Street
"2 Beacon Mews, South Road, Weybridge, KT13 9DZ",786," 1,370 ", KT13 9DZ,KT13,2 Beacon Mews
"Unit 2, Polygon Business Centre, Blackthorne Road, SL3 0QT","2,849 ",780000, SL3 0QT,SL3,Unit 2
"Retail Premises With Flat Above, West End Street, High Wycombe, HP11 2JG","1,592 ",450000, HP11 2JG,HP11,Retail Premises With Flat Above
"Industrial Investment with Office, Unit 4 City Commerce Centre, Marsh Lane, Southampton, SO14 3EW","2,040 ",210000, SO14 3EW,SO14,Industrial Investment with Office
"A3 Unit Investment With Flats , 14 Pauls Row, High Wycombe, HP11 2HQ","1,964 ",1500000, HP11 2HQ,HP11,A3 Unit Investment With Flats 
"Office Building With Development Opportunity , 25 High Street, High Wycombe, HP11 2AG","2,637 ",595000, HP11 2AG,HP11,Office Building With Development Opportunity 
"Retail Premises With 1st Floor Office, 29 High Street, High Wycombe, HP11 2AG","1,237 ",295000, HP11 2AG,HP11,Retail Premises With 1st Floor Office
"15-18 Canute Road, Southampton, SO14 3FJ","1,350 ",250000, SO14 3FJ,SO14,15-18 Canute Road
"Retail Investment For Sale, 145 & 145B West Street, Fareham, PO16 0DZ","2,279 ",260000, PO16 0DZ,PO16,Retail Investment For Sale
"Retail Premises With Upper Floor, 117 - 119, Oxford Road, High Wycombe, HP11 2DN","1,988 ",595000, HP11 2DN,HP11,Retail Premises With Upper Floor
"Town Centre Office Building , 9 Buckingham Place, Bellfield Road, High Wycombe, HP13 5HW","2,770 ",695000, HP13 5HW,HP13,Town Centre Office Building 
"1 Church Road, Southampton, SO31 6LW","1,258 ",180000, SO31 6LW,SO31,1 Church Road
"Cottage & Beauty Premises, Wexham Street, Stoke Poges, SL3 6NT","1,130 ",675000, SL3 6NT,SL3,Cottage & Beauty Premises
"94 Ock Street, Abingdon, OX14 5DH","1,514 ",275000, OX14 5DH,OX14,94 Ock Street
"98 Ock Street, Abingdon, OX14 5DH","1,012 ",200000, OX14 5DH,OX14,98 Ock Street
"14 Fitzherbert Spur, Portsmouth, PO6 1TT","13,772 ",1240000, PO6 1TT,PO6,14 Fitzherbert Spur
"7 Vineyard Chambers, Vineyard, Abingdon, OX14 3PX","2,015 ",395000, OX14 3PX,OX14,7 Vineyard Chambers
"Office Building In Courtyard Setting, Unit 11 Manor Courtyard, Hughenden Avenue, High Wycombe, HP13 5RE","1,065 ",295000, HP13 5RE,HP13,Office Building In Courtyard Setting
"144 Commercial Road, Totton, Southampton, SO40 3AA","12,716 ",1000000, SO40 3AA,SO40,144 Commercial Road
"75 Cowbridge Road East, Cardiff, CF11 9AF","1,935 ",350000, CF11 9AF,CF11,75 Cowbridge Road East
"For Sale - Student Development Opportunity in Card, The Courtyard, Letty Street, Cardiff, CF24 4EL","4,014 ",600000, CF24 4EL,CF24,For Sale - Student Development Opportunity in Card
"Units A & B, Sloper Road, Cardiff, CF11 8AB","20,611 ",2250000, CF11 8AB,CF11,Units A & B
"For Sale - 114 Whitchurch Road, Cardiff, 114 WHITCHURCH ROAD, Cardiff, CF14 3LY","1,594 ",325000, CF14 3LY,CF14,For Sale - 114 Whitchurch Road
"Unit 1 Seawall Road, Cardiff, CF24 5TH","2,828 ",150000, CF24 5TH,CF24,Unit 1 Seawall Road
"Unit 17, Waterside Business Park, Cardiff, CF3 2ET","2,780 ",275000, CF3 2ET,CF3,Unit 17
"Former NatWest Available For Sale in sought after , 21 High Street, Llandaff, CF5 2YG","2,223 ",350000, CF5 2YG,CF5,Former NatWest Available For Sale in sought after 
"Former NatWest For Sale Located Whitchurch, 6 Park Road, Cardiff, CF14 7XD","2,045 ",300000, CF14 7XD,CF14,Former NatWest For Sale Located Whitchurch
"Unit 8 Oaktree Court, Cardiff Gate Business Park, Cardiff, CF23 8RS","3,689 ",485000, CF23 8RS,CF23,Unit 8 Oaktree Court
"For Sale - 4 Westgate, Cowbridge, 4 Westgate, Cowbridge, CF71 7RA","1,906 ",250000, CF71 7RA,CF71,For Sale - 4 Westgate
"141 Milton Road, Weston-super-Mare, BS22 8AA","7,395 ",1010000, BS22 8AA,BS22,141 Milton Road
"Arnolds Way, Yatton, BS49 4AR","2,496 ",450000, BS49 4AR,BS49,Arnolds Way
"Cambria House, Unit 2, Merthyr Tydfil Industrial Park, Merthyr Tydfil, CF48 4XA","15,649 ",675000, CF48 4XA,CF48,Cambria House
"For Sale - Development Opportunity with Planning C, Church Street, Highbridge, TA9 3AE","3,451 ",180000, TA9 3AE,TA9,For Sale - Development Opportunity with Planning C
"Unit 5, Heads of the Valley Industrial Estate, Rhymney, Tredegar, NP22 5RL","28,307 ",1150000, NP22 5RL,NP22,Unit 5
"For Sale - Unit 2, Tafarnabach Ind Est, Tredegar, Tredegar, NP22 3AA","105,185 ",650000, NP22 3AA,NP22,For Sale - Unit 2
"Substantial manufacturing unit available on freeho, Unit 3, Tafarnaubach Industrial Estate, Tredegar, NP22 3AA","103,454 ",2500000, NP22 3AA,NP22,Substantial manufacturing unit available on freeho
"Cutter Court, Macrae Road Eden Office Park, Bristol, BS20 0EB","1,775 ",250000, BS20 0EB,BS20,Cutter Court
"New Office Building With Good Parking, Cutter Court, Macrae Road , Eden Office Park, Ham Green, Bristol, BS20 0EB","1,775 ",250000, BS20 0EB,BS20,New Office Building With Good Parking
"Land at Bryn Serth, Ebbw Vale, NP23 6PL","4,207,892 ",1500000, NP23 6PL,NP23,Land at Bryn Serth
"Former NatWest For Sale located in Chepstow, 1 Beaufort Square, Chepstow, NP16 5ZT","3,041 ",180000, NP16 5ZT,NP16,Former NatWest For Sale located in Chepstow
"New Build Commercial Units, Dean Street, Bristol, BS2 8SF","1,733 ",400000, BS2 8SF,BS2,New Build Commercial Units
"43 Bed Student Accommodation Investment Opportunit, Berkeley House, Pritchard Street, Bristol, BS2 8FJ",1," 10,944 ", BS2 8FJ,BS2,43 Bed Student Accommodation Investment Opportunit
"Brooks Dye Works, Sevier Street, St Werburgh, Bristol, BS2 9QS","1,367 ",800000, BS2 9QS,BS2,Brooks Dye Works
"56 Staple Hill Road, Bristol, BS16 5BS","3,000 ",260000, BS16 5BS,BS16,56 Staple Hill Road
"UNDER OFFER - For Sale - Retail Property in Hanham, 125a High Street, Bristol, BS15 3QY","2,420 ",300000, BS15 3QY,BS15,UNDER OFFER - For Sale - Retail Property in Hanham
